玻璃类型,化学成分,无风化样本数,风化样本数,无风化中位数,风化中位数,无风化平均值,风化平均值,平均变化量_百分点,U统计量,原始p值,秩二列效应量,BH校正p值_28项,校正后是否显著,效应方向,效应大小,解释
高钾,二氧化硅 (SiO2),12,6,67.310852,94.266927,69.231452,94.330974,25.099522,72.000000,0.000108,1.000000,0.000917,显著,风化组较高,大,差异不太可能仅由随机波动解释
高钾,氧化钠 (Na2O),12,6,0.000000,0.000000,0.705190,0.000000,-0.705190,27.000000,0.220436,-0.250000,0.280555,不显著,风化组较低,小,尚无充分证据排除随机波动
高钾,氧化钾 (K2O),12,6,10.150616,0.665680,9.515034,0.544579,-8.970455,5.000000,0.004203,-0.861111,0.016812,显著,风化组较低,大,差异不太可能仅由随机波动解释
高钾,氧化钙 (CaO),12,6,6.205618,0.837215,5.440412,0.873246,-4.567166,12.000000,0.027657,-0.666667,0.055502,不显著,风化组较低,大,尚无充分证据排除随机波动
高钾,氧化镁 (MgO),12,6,1.180450,0.000000,1.102537,0.197751,-0.904787,10.000000,0.014990,-0.722222,0.041971,显著,风化组较低,大,差异不太可能仅由随机波动解释
高钾,氧化铝 (Al2O3),12,6,6.281419,1.726131,6.738553,1.937846,-4.800706,1.000000,0.000215,-0.972222,0.001207,显著,风化组较低,大,差异不太可能仅由随机波动解释
高钾,氧化铁 (Fe2O3),12,6,2.164480,0.275874,1.968776,0.265901,-1.702875,12.000000,0.027657,-0.666667,0.055502,不显著,风化组较低,大,尚无充分证据排除随机波动
高钾,氧化铜 (CuO),12,6,2.403409,1.556060,2.500335,1.568432,-0.931903,24.000000,0.290778,-0.333333,0.353990,不显著,风化组较低,中等,尚无充分证据排除随机波动
高钾,氧化铅 (PbO),12,6,0.156980,0.000000,0.416285,0.000000,-0.416285,15.000000,0.028973,-0.583333,0.055502,不显著,风化组较低,大,尚无充分证据排除随机波动
高钾,氧化钡 (BaO),12,6,0.000000,0.000000,0.605703,0.000000,-0.605703,24.000000,0.139179,-0.333333,0.216501,不显著,风化组较低,中等,尚无充分证据排除随机波动
高钾,五氧化二磷 (P2O5),12,6,1.045258,0.280403,1.426007,0.281271,-1.144736,9.500000,0.014835,-0.736111,0.041971,显著,风化组较低,大,差异不太可能仅由随机波动解释
高钾,氧化锶 (SrO),12,6,0.020323,0.000000,0.042378,0.000000,-0.042378,18.000000,0.050908,-0.500000,0.083848,不显著,风化组较低,大,尚无充分证据排除随机波动
高钾,氧化锡 (SnO2),12,6,0.000000,0.000000,0.202228,0.000000,-0.202228,33.000000,0.555690,-0.083333,0.622373,不显著,风化组较低,可忽略,尚无充分证据排除随机波动
高钾,二氧化硫 (SO2),12,6,0.000000,0.000000,0.105109,0.000000,-0.105109,27.000000,0.220436,-0.250000,0.280555,不显著,风化组较低,小,尚无充分证据排除随机波动
铅钡,二氧化硅 (SiO2),23,26,55.740933,26.197587,55.827978,25.752708,-30.075269,20.000000,0.000000,-0.933110,0.000001,显著,风化组较低,大,差异不太可能仅由随机波动解释
铅钡,氧化钠 (Na2O),23,26,0.000000,0.000000,1.724174,0.222207,-1.501967,198.000000,0.011564,-0.337793,0.040475,显著,风化组较低,中等,差异不太可能仅由随机波动解释
铅钡,氧化钾 (K2O),23,26,0.153046,0.000000,0.225762,0.135732,-0.090029,232.000000,0.152581,-0.224080,0.224856,不显著,风化组较低,小,尚无充分证据排除随机波动
铅钡,氧化钙 (CaO),23,26,0.854179,2.905195,1.343335,2.804418,1.461083,453.500000,0.002029,0.516722,0.009469,显著,风化组较高,大,差异不太可能仅由随机波动解释
铅钡,氧化镁 (MgO),23,26,0.735751,0.591008,0.650929,0.677537,0.026608,294.000000,0.925989,-0.016722,0.925989,不显著,风化组较低,可忽略,尚无充分证据排除随机波动
铅钡,氧化铝 (Al2O3),23,26,3.910841,2.491855,4.549824,3.063831,-1.485993,190.000000,0.029733,-0.364548,0.055502,不显著,风化组较低,中等,尚无充分证据排除随机波动
铅钡,氧化铁 (Fe2O3),23,26,0.000000,0.310988,0.756298,0.605825,-0.150473,316.000000,0.728907,0.056856,0.755903,不显著,风化组较高,可忽略,尚无充分证据排除随机波动
铅钡,氧化铜 (CuO),23,26,0.668312,1.253825,1.480092,2.329745,0.849653,397.000000,0.050730,0.327759,0.083848,不显著,风化组较高,小,尚无充分证据排除随机波动
铅钡,氧化铅 (PbO),23,26,20.551583,46.686464,22.575816,44.887513,22.311698,551.000000,0.000000,0.842809,0.000007,显著,风化组较高,大,差异不太可能仅由随机波动解释
铅钡,氧化钡 (BaO),23,26,9.150127,9.280812,9.287782,12.161369,2.873588,335.000000,0.476924,0.120401,0.556411,不显著,风化组较高,可忽略,尚无充分证据排除随机波动
铅钡,五氧化二磷 (P2O5),23,26,0.195755,5.150345,1.098562,5.480527,4.381965,490.000000,0.000131,0.638796,0.000917,显著,风化组较高,大,差异不太可能仅由随机波动解释
铅钡,氧化锶 (SrO),23,26,0.262308,0.433380,0.273017,0.431318,0.158301,408.000000,0.029234,0.364548,0.055502,不显著,风化组较高,中等,尚无充分证据排除随机波动
铅钡,氧化锡 (SnO2),23,26,0.000000,0.000000,0.047270,0.069769,0.022498,286.000000,0.633615,-0.043478,0.682355,不显著,风化组较低,可忽略,尚无充分证据排除随机波动
铅钡,二氧化硫 (SO2),23,26,0.000000,0.000000,0.159162,1.377501,1.218338,332.000000,0.215244,0.110368,0.280555,不显著,风化组较高,可忽略,尚无充分证据排除随机波动
